Algorithm Category,Algorithm Name,Dataset Name,Dataset Size,Run Index,Warmup,Time (s),Comparisons,Swaps/Moves,Auxiliary Elements,Status,Error Detail
Counting Sort,counting_sort_stable,sorted_int,1000000,2,False,1.0991592709979159,0.0,22999979.0,10999990.0,OK,
Counting Sort,counting_sort_stable,sorted_int,1000000,3,False,1.0553562890054309,0.0,22999979.0,10999990.0,OK,
Counting Sort,counting_sort_stable,random_uniform_int,1000000,0,False,1.3118661360058468,0.0,22999981.0,10999991.0,OK,
Counting Sort,counting_sort_stable,partially_sorted_int,100000,1,False,0.11511282100400422,0.0,2299993.0,1099997.0,OK,
Counting Sort,counting_sort_stable,partially_sorted_int,100000,2,False,0.11561014300241368,0.0,2299993.0,1099997.0,OK,
Counting Sort,counting_sort_stable,partially_sorted_int,100000,3,False,0.1281666029972257,0.0,2299993.0,1099997.0,OK,
Counting Sort,counting_sort_stable,reverse_sorted_int,1000000,-1,True,1.0133773350025876,0.0,22999879.0,10999940.0,OK,
Counting Sort,counting_sort_stable,reverse_sorted_int,1000000,0,False,1.0000340719998349,0.0,22999879.0,10999940.0,OK,
Counting Sort,counting_sort_stable,random_uniform_int,1000000,2,False,1.4852215549981338,0.0,22999981.0,10999991.0,OK,
Counting Sort,counting_sort_stable,random_uniform_int,1000000,1,False,1.5102437550012837,0.0,22999981.0,10999991.0,OK,
Counting Sort,counting_sort_stable,reverse_sorted_int,1000000,1,False,1.0343711809982779,0.0,22999879.0,10999940.0,OK,
Counting Sort,counting_sort_stable,reverse_sorted_int,1000000,3,False,0.9643190559945651,0.0,22999879.0,10999940.0,OK,
Counting Sort,counting_sort_stable,random_uniform_int,1000000,3,False,1.5530473030012217,0.0,22999981.0,10999991.0,OK,
Counting Sort,counting_sort_stable,reverse_sorted_int,1000000,2,False,1.0554676599931554,0.0,22999879.0,10999940.0,OK,
Counting Sort,counting_sort_stable,few_unique_int,100,-1,True,7.796000136295334e-05,0.0,2059.0,980.0,OK,
Counting Sort,counting_sort_stable,few_unique_int,100,0,False,5.707999662263319e-05,0.0,2059.0,980.0,OK,
Counting Sort,counting_sort_stable,few_unique_int,100,1,False,4.71500025014393e-05,0.0,2059.0,980.0,OK,
Counting Sort,counting_sort_stable,few_unique_int,100,2,False,8.047099981922656e-05,0.0,2059.0,980.0,OK,
Counting Sort,counting_sort_stable,few_unique_int,100,3,False,4.87100041937083e-05,0.0,2059.0,980.0,OK,
Counting Sort,counting_sort_stable,few_unique_int,1000,-1,True,0.0008789929997874424,0.0,22871.0,10936.0,OK,
Counting Sort,counting_sort_stable,few_unique_int,1000,0,False,0.0004958319987053983,0.0,22871.0,10936.0,OK,
Counting Sort,counting_sort_stable,few_unique_int,1000,1,False,0.0004920620049233548,0.0,22871.0,10936.0,OK,
Counting Sort,counting_sort_stable,few_unique_int,1000,2,False,0.0005114220039104111,0.0,22871.0,10936.0,OK,
Counting Sort,counting_sort_stable,few_unique_int,1000,3,False,0.0006386619934346527,0.0,22871.0,10936.0,OK,
Counting Sort,counting_sort_stable,few_unique_int,10000,-1,True,0.005891939996217843,0.0,229395.0,109698.0,OK,
Counting Sort,counting_sort_stable,few_unique_int,10000,0,False,0.009850841997831594,0.0,229395.0,109698.0,OK,
Counting Sort,counting_sort_stable,few_unique_int,10000,1,False,0.005888029001653194,0.0,229395.0,109698.0,OK,
Counting Sort,counting_sort_stable,few_unique_int,10000,2,False,0.01023495299887145,0.0,229395.0,109698.0,OK,
Counting Sort,counting_sort_stable,few_unique_int,10000,3,False,0.010224452998954803,0.0,229395.0,109698.0,OK,
Counting Sort,counting_sort_stable,few_unique_int,100000,2,False,0.07304196499899263,0.0,2299501.0,1099751.0,OK,
Counting Sort,counting_sort_unstable,random_uniform_int,100,-1,True,0.0001246110041392967,0.0,1200.0,1100.0,OK,
